Code	Scientific	Common	Reverse
6870	'Streptopelia turtur'	'European turtle dove'	'Streptopelia turtur'
6880	'Streptopelia lugens'	'Dusky Turtle-Dove'	'Streptopelia lugens'
6890	'Streptopelia orientalis'	'Oriental Turtle-Dove'	'Streptopelia orientalis'
6891	'Streptopelia (orientalis) meenae'	'Dusky Turtle-Dove'	'Streptopelia'
6900	'Streptopelia senegalensis'	'Laughing Dove'	'Streptopelia senegalensis'
6901	'Streptopelia senegalensis senegalensis'	'NA'	'Streptopelia senegalensis senegalensis'
6902	'Streptopelia senegalensis phoenicophila'	'NA'	'Streptopelia senegalensis phoenicophila'
6910	'Streptopelia chinensis'	'Barred ground dove'	'Streptopelia chinensis'
6919	'Streptopelia sp.'	'Dusky Turtle-Dove'	'Streptopelia'
6920	'Oena capensis'	'Namaqua Dove'	'Oena capensis'
6930	'Chalcophaps indica'	'Asian Emerald Dove'	'Chalcophaps indica'
6940	'Ectopistes migratorius'	'Passenger pigeon'	'Ectopistes migratorius'
6950	'Zenaida macroura'	'Mourning dove'	'Zenaida macroura'
6960	'Zenaida aurita'	'Zenaida Dove'	'Zenaida aurita'
6970	'Zenaida asiatica'	'White-winged dove'	'Zenaida asiatica'
6980	'Columbigallina passerina'	'NA'	'Columbigallina'
6990	'Scardafella squammata'	'NA'	'Scardafella squammata'
7000	'Leptotila verreauxi'	'White-tipped Dove'	'Leptotila verreauxi'
7010	'Geotrygon chrysia'	'Key West Quail-Dove'	'Geotrygon chrysia'
7020	'Geotrygon montana'	'Ruddy Quail-Dove'	'Geotrygon montana'
7030	'Treron waalia'	'Bruce\'s Green Pigeon'	'Treron waalia'
7040	'Treron sphenura'	'NA'	'Treron sphenura'
7050	'Treron sieboldii'	'White-bellied Green Pigeon'	'Treron sieboldii'
7060	'Treron formosae'	'Whistling Green Pigeon'	'Treron formosae'
7070	'Aratinga holochlora'	'Akałii Bikéyahdę́ę́ʼ tsídii yáłtiʼí chʼilgo dootłʼizhígíí'	'Aratinga holochlora'
7080	'Conuropsis carolinensis'	'Carolina parakeet'	'Conuropsis carolinensis'
7090	'Rhynchopsitta pachyrhyncha'	'Thick-billed parrot'	'Rhynchopsitta pachyrhyncha'
7100	'Rhynchopsitta terrisi'	'Maroon-fronted Parrot'	'Rhynchopsitta terrisi'
7110	'Amazona leucocephala'	'Cuban Amazon'	'Amazona leucocephala'
7120	'Psittacula krameri'	'Rose-ringed Parakeet'	'Psittacula krameri'
7130	'Psittacula derbiana'	'Lord Derby\'s Parakeet'	'Psittacula derbiana'
7140	'Psittacula himalayana'	'Slaty-headed parakeet'	'Psittacula himalayana'
7150	'Clamator jacobinus'	'Jacobin Cuckoo'	'Clamator jacobinus'
7160	'Clamator glandarius'	'Great spotted cuckoo'	'Clamator glandarius'
7170	'Hierococcyx fugax'	'Malaysian Hawk-Cuckoo'	'Hierococcyx fugax'
7180	'Hierococcyx sparverioides'	'Large Hawk-Cuckoo'	'Hierococcyx sparverioides'
7190	'Chrysococcyx maculatus'	'Asian Emerald Cuckoo'	'Chrysococcyx maculatus'
7200	'Chrysococcyx caprius'	'Dideric Cuckoo'	'Chrysococcyx caprius'
7210	'Chrysococcyx klaas'	'Klaas\'s Cuckoo'	'Chrysococcyx klaas'
7220	'Cacomantis merulinus'	'Plaintive Cuckoo'	'Cacomantis merulinus'
7230	'Cuculus micropterus'	'Indian Cuckoo'	'Cuculus micropterus'
7240	'Cuculus canorus'	'Common cuckoo'	'Cuculus canorus'
7250	'Cuculus saturatus'	'Himalayan cuckoo'	'Cuculus saturatus'
7260	'Cuculus poliocephalus'	'Lesser Cuckoo'	'Cuculus poliocephalus'
7270	'Coccyzus erythrophthalmus'	'NA'	'Coccyzus erythrophtalmus'
7280	'Coccyzus americanus'	'Yellow-billed Cuckoo'	'Coccyzus americanus'
7290	'Coccyzus minor'	'Mangrove Cuckoo'	'Coccyzus minor'
7300	'Saurothera merlini'	'Arriero'	'Saurothera merlini'
7310	'Crotophaga ani'	'Pink lady\'s slipper'	'Crotophaga ani'
7320	'Crotophaga sulcirostris'	'Groove-billed Ani'	'Crotophaga sulcirostris'
7330	'Geococcyx californianus'	'Greater Roadrunner'	'Geococcyx californianus'
7340	'Centropus senegalensis'	'Coucal du Sénégal'	'Centropus senegalensis'
7350	'Tyto alba'	'Barn Owl (Sao Tome)'	'Tyto alba'
7351	'Tyto alba alba'	'Common Barn Owl'	'Tyto alba alba'
7352	'Tyto alba guttata'	'NA'	'Tyto alba guttata'
7360	'Otus bakkamoena'	'Little Horned Owl'	'Otus bakkamoena'
7370	'Otus sunia'	'Oriental Scops Owl'	'Otus sunia'
7380	'Otus brucei'	'Pallid scops owl'	'Otus brucei'
7390	'Otus scops'	'Eurasian scops owl'	'Otus scops'
